State Code,State,Program Code,Program Name,Type of Program,Article Number,Article URL,Pathway
AK,Alaska,BAECE,Early Childhood Education,Initial,1927,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Early-Childhood-Education-Certification-and-Exam-Requirements/ta-p/1027, 
AK,Alaska,ENDEDL,Educational Leadership,Initial,1823,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Educational-Leadership-Certification-Requirements/ta-p/1458, 
AK,Alaska,ENDEDLST,Educational Leadership,Initial,1823,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Educational-Leadership-Certification-Requirements/ta-p/1458, 
AK,Alaska,ENDEDLSTE,Educational Leadership,Initial,1823,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Educational-Leadership-Certification-Requirements/ta-p/1458, 
AK,Alaska,ENDEDLSTS,Educational Leadership,Initial,1823,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Educational-Leadership-Certification-Requirements/ta-p/1458, 
AK,Alaska,MSEDL,Educational Leadership,Initial,1823,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Educational-Leadership-Certification-Requirements/ta-p/1458, 
AK,Alaska,MSEDLST,Educational Leadership,Initial,1823,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Educational-Leadership-Certification-Requirements/ta-p/1458, 
AK,Alaska,MSEDLSTE,Educational Leadership,Initial,1823,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Educational-Leadership-Certification-Requirements/ta-p/1458, 
AK,Alaska,MSEDLSTS,Educational Leadership,Initial,1823,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Educational-Leadership-Certification-Requirements/ta-p/1458, 
AK,Alaska,BAELED,Elementary Education,Initial,1926,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Elementary-Education-Certification-and-Exam-Requirements/ta-p/420, 
AK,Alaska,BAISK8,Elementary Education,Initial,1926,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Elementary-Education-Certification-and-Exam-Requirements/ta-p/420, 
AK,Alaska,MATELED,Elementary Education,Initial,1926,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Elementary-Education-Certification-and-Exam-Requirements/ta-p/420, 
AK,Alaska,MATELK8,Elementary Education,Initial,1926,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Elementary-Education-Certification-and-Exam-Requirements/ta-p/420, 
AK,Alaska,PBELED,Elementary Education,Initial,1926,https://cm.wgu.edu/t5/Teacher-Licensure-Information/AK-Elementary-Education-Certification-and-Exam-Requirements/ta-p/420, 
